OBJECTID,CAPTURE_ACCURACY,EQUIPMENT,DESCRIPTION,STATUS,OBJECT_TYPE_DESCRIPTION,Shape__Length
32,6,100031516,TE WAIKOROPUPU SPRINGS WALK,OPEN,Short Walk(disabled),1032.23614821798
33,2,100031517,HONEYDEW TRACK,OPEN,Short Walk,1205.26936520229
34,6,100031518,TRAINS TK,OPEN,Tramping Track,12327.6408155215
35,6,100031519,TRAINS TO TAHUPO ROUTE,OPEN,Route,8530.81495829112
36,6,100031520,HIHITAHI FOREST SANCTUARY TK (TO ZEKES H,OPEN,Tramping Track,10403.133371589
37,2,100031523,BARTRUMS SWINGBRDG TO BRIDGE TO NOWHERE,CLSD,Tramping Track,8212.46611220972
38,2,100031524,KAIWHAKAUKA TK - WHAKAHORO HUT TO PARK B,OPEN,Tramping Track,6803.16583817432
39,2,100031525,STONY RIVER ROUTE,OPEN,Tramping Track,4887.04616883063
40,2,100031526,PUNIHO TK,OPEN,Tramping Track,7338.38620883444
41,2,100031527,BRAMES FALLS ROUTE:IHAIA TK JTN-BOBS BLF,OPEN,Tramping Track,5719.56451135767
42,2,100031528,TAUNGATARA TK,OPEN,Tramping Track,5311.49739107515
43,2,100031529,KAIWHAKAUKA TK - PARK BOUNDARY TO COOTES,OPEN,Tramping Track,6053.91266518308
44,4,100031532,Kura Tawhiti Access Track,OPEN,Walking Track,581.806469330738
45,2,100031533,Old Coach Road,OPEN,Short Walk,1127.38580452022
46,6,100031534,TUSSOCK HUT JTN/MANGAPAPA TO MANGATAINOK,OPEN,Route,4658.73400722791
47,6,100031535,MANSON HUT/NGAAWAPURUA HUT TK - OTUTU HU,OPEN,Tramping Track,3034.48182768311
48,6,100031536,KIWI MOUTH HUT TO KIWI SADDLE HUT (VIA R,OPEN,Tramping Track,4550.08555939456
49,6,100031537,Kiwi Mouth Hut to Jtn via Kiwi Stream,OPEN,Tramping Track,3527.45778975134
50,6,100031538,Cameron Junction to Kiwi Junction,OPEN,Tramping Track,1114.73916436617
51,6,100031539,Cameron Hut to Kiwi Saddle Junction,OPEN,Tramping Track,5267.33671841302
52,6,100031540,LAKES CRPK - LAKES TK,OPEN,Tramping Track,2241.33575809871
53,6,100031541,LAKES CRPK TO KAWEKA HUT (DEMOLISHED) SI,OPEN,Tramping Track,3164.37068530637
54,2,100031542,Cleopatra Pool Track,OPEN,Easy Tramping Track,444.31924943448
55,2,100031543,Pitt Head Track,OPEN,Walking Track,2572.10442896623
56,2,100031544,Torrent Bay / Holyoakes Clearing Tk,OPEN,Tramping Track,4417.38312044205
57,2,100031545,Abel Tasman Inland Trk [H'oakes-Porters],OPEN,Tramping Track,9821.85922714396
58,2,100031546,Flora Hut to Upper Takaka Junction,OPEN,Tramping Track,6484.93886459117
59,2,100031547,Salisbury Track,OPEN,Tramping Track,7539.80118016576
60,6,100031548,Upper Takaka Track,OPEN,Tramping Track,1440.3898540208
61,2,100031549,Tableland / Lake Peel Track,OPEN,Tramping Track,5545.33256905432
62,2,100031550,Wilkinson Track,OPEN,Tramping Track,3958.73588615728
63,6,100031551,Loveridge Spur route,OPEN,Route,2918.82575725586
64,2,100031552,Cowins Spur Track,OPEN,Tramping Track,4923.67829379581
65,6,100031553,Thor Creek to T.Carter suspension bridge,OPEN,Tramping Track,8491.84795149412
66,6,100031554,CATTLE CREEK HUT TURNOFF TO BIRCH WHARE,OPEN,Tramping Track,4806.50648906394
67,6,100031555,STANFIELD HUT TO CATTLE CK HUT,OPEN,Tramping Track,3205.16526690126
68,6,100031556,STANFIELD/TAKAPARI/TAMAKI R TK - STANFIE,OPEN,Tramping Track,1129.20837596355
69,6,100031557,Mangapuaka stm to Matanginui high point,OPEN,Tramping Track,3952.04616656235
70,6,100031558,Maharahara to Matanginui,OPEN,Tramping Track,665.529165775899
71,6,100031559,RAPARAPAWAI STM TO MATANGINUI VIA KIRITA,OPEN,Tramping Track,3861.0194984371
72,6,100031560,GRANGES TK,OPEN,Tramping Track,1985.18166096021
73,6,100031561,DAPHNE RIDGE TK,OPEN,Tramping Track,3313.11424852982
74,6,100031562,MANGANUKU TK,OPEN,Tramping Track,3434.02451995179
75,2,100031563,MANGANUKU RIVER TK,OPEN,Tramping Track,4862.70317195717
76,2,100031564,SIX FOOT TK - TAWHANA TO TE MOTIWHA SAD,OPEN,Tramping Track,11855.3083243379
77,2,100031565,SIX FOOT TK - TE MOTIWHA SADDLE TO MAKO,OPEN,Tramping Track,9674.46074413856
78,2,100031578,TRACK - FREDS CAMP HUT TO RAKEAHUA HUT,OPEN,Tramping Track,11492.3990149569
79,5,100031579,TRACK - FRESHWATER JUNCTION TO FREDS CAM,OPEN,Tramping Track,9778.80701716448
80,4,100031580,TRACK - DOUGHBOY BAY TO MASON BAY BEACH,OPEN,Tramping Track,18135.8595862465
81,2,100031581,TRACK - RAKEAHUA HUT TO DOUGHBOY BAY,OPEN,Tramping Track,16121.37089166
82,2,100031584,CLARK HUT/ISLAND L JUNCTN,OPEN,Tramping Track,5940.55348419421
83,2,100031585,L MONOWAI FORESHORE/CLARK HUT,OPEN,Tramping Track,6187.0188658651
84,2,100031587,HOLLYFORD TK - MACKERROW IS HUT JUNCTION,OPEN,Tramping Track,8216.89951268622
85,2,100031588,HOLLYFORD TK - NTH END L MCKERROW TO MAR,OPEN,Easy Tramping Track,6880.40311118774
86,2,100031589,Frew Hut to Frew Saddle Track,OPEN,Tramping Track,5939.36910115319
87,2,100031590,Frew Saddle to Bluff Hut Track,OPEN,Tramping Track,5000.62095657465
88,5,100031591,Mungo River Route,OPEN,Route,3999.95514235988
89,5,100031592,Frew Hut to Whitcombe Road End Track,OPEN,Tramping Track,9394.453259533
90,5,100031593,Wanganui cableway to Smyth hut,OPEN,Tramping Track,8112.97822984541
91,5,100031594,Roadend to Hendes Crk,OPEN,Tramping Track,7524.30661302584
92,5,100031595,Butler Junction to Whymper Hut,OPEN,Tramping Track,5903.32195826041
93,5,100031596,Carpark to Whataroa Swingbridge,OPEN,Tramping Track,7298.5466953116
94,2,100031597,Roberts Point Track,OPEN,Tramping Track,3739.40091502643
95,3,100031598,Alex Knob track,OPEN,Tramping Track,5790.64315987794
96,2,100031599,Copland Track - Welcome Flat Hut to Doug,OPEN,Tramping Track,7434.91228365965
97,5,100031600,Chancellor Hut route,OPEN,Route,1323.95345868299
98,5,100031601,CLIFDEN CAVES UNDERGROUND TRACK,OPEN,Tramping Track,154.025565912077
99,2,100031602,RODGERS INLET HUT TO BUSHLINE ROUTE,OPEN,Route,3701.44212694226
100,5,100031603,WAIRAURAHIRI RIVER/WAITUTU RIVER TRACK,OPEN,Tramping Track,12581.7353792475
101,2,100031604,LONG REEF POINT TO BIG BAY HUT TRACK,OPEN,Tramping Track,13515.6526184345
102,2,100031605,FALLS CREEK ROUTE,OPEN,Route,3619.96709848959
103,2,100031606,GREENHILLS LOOP TRACK,OPEN,Tramping Track,3149.47791373642
104,2,100031607,Cecil Kings Hut to Stone Hut,OPEN,Tramping Track,10377.8881558658
105,2,100031608,LOWER TRAVERS VALLEY TRACK,OPEN,Easy Tramping Track,5272.53393175025
106,6,100031609,ST ARNAUD RANGE TRACK - LOWER SECTION,OPEN,Tramping Track,3470.79487939348
107,2,100031610,TIMMS FORKS TO MT FELL HUT RIDGELINE,OPEN,Tramping Track,6506.97973876102
108,6,100031612,HAUHUNGAROA HUT TO MANGAKAHU Track,OPEN,Tramping Track,4113.13235944671
109,6,100031614,KETEMARINGI Route,OPEN,Route,10673.9755913734
110,2,100031615,Karakariki Track- To Reserve Boundary,OPEN,Tramping Track,2298.78102575968
111,2,100031616,Te Tapui Track,OPEN,Tramping Track,5858.55063219936
112,2,100031617,Karamu W/Way Nth- Lookout to Old Mountai,OPEN,Tramping Track,2504.41700664819
113,6,100031618,Karamu W/Way Sth- O.M.R. to Limeworks Lo,OPEN,Tramping Track,7874.0322102352
114,2,100031622,Wairake Track,OPEN,Tramping Track,3259.70591023948
115,2,100031623,Joker Level Tram Walking Track,OPEN,Walking Track,225.695579066038
116,2,100031624,Waterfall Track (Maruia) - CLOSED,CLSD,Short Walk,447.921573127369
117,2,100031626,Tailrace Walk,OPEN,Walking Track,864.376039063984
118,2,100031627,Bain Bay Walk,OPEN,Walking Track,3438.48909611973
119,2,100031628,Carew Falls Track,OPEN,Short Walk,842.309173288225
120,2,100031629,Londonderry Rock Walk,OPEN,Walking Track,225.47525942952
121,2,100031630,Mananui Tramline Track (Mahinapua WW),OPEN,Walking Track,6022.15717945878
122,2,100031631,Picnic Point Track,OPEN,Walking Track,604.283796239429
123,1,100031633,Canoe Cove Track,OPEN,Short Walk,676.252254119547
124,2,100031634,Harihari Coastal walk,OPEN,Walking Track,7163.2809995898
125,2,100031635,MT ALFRED TK - PRIORY RD TO BUSH EDGE,CLSD,Tramping Track,2477.08346662787
126,2,100031636,SUGARLOAF RTBN TO ROCKBURN JCN TK,OPEN,Tramping Track,4195.0998987279
127,2,100031637,ROCKBURN JCN TO SYLVAN/ROCKBURN JCN TK,OPEN,Tramping Track,4051.14287364956
128,2,100031638,REES TK - CRPK TO PARK BOUNDARY,OPEN,Easy Tramping Track,11608.464848913
129,2,100031639,REES TK - PARK BDY TO SHELTER ROCK,OPEN,Easy Tramping Track,6283.84405199293
130,6,100031640,REES TK - SHELTER ROCK TO REES SADDLE,OPEN,Easy Tramping Track,5028.3442377587
131,2,100031641,KEA BASIN TK,OPEN,Tramping Track,3131.19641590431
132,2,100031642,DART TK - REES SADDLE TO DART HUT,OPEN,Easy Tramping Track,4059.16754204705
133,6,100031643,DART TK - NTH END CATTLE FLAT TO DALEYS,OPEN,Easy Tramping Track,11101.4674854558
134,2,100031644,DART HUT TO CASCADE SADDLE ROUTE,OPEN,Route,8929.04740095604
135,2,100031645,WHITBOURN TK,OPEN,Route,2082.08791424875
136,6,100031646,KORU PA - HISTORIC RESERVE TKS,OPEN,Walking Track,278.593475552372
137,6,100031647,KORU PA - KORU RD TO RESERVE BOUNDARY,OPEN,Walking Track,591.924851869645
138,6,100031648,MT DAMPER FALLS WALK - FARM SECTION,OPEN,Short Walk,179.177871523057
139,6,100031649,TATARAIMAKA PA HR TK,OPEN,Short Walk,143.526747635976
140,6,100031650,STONY RIVER WW - SHORT WALK,OPEN,Walking Track,449.956071125811
141,6,100031651,KURAPETE WALK,OPEN,Walking Track,544.798545729063
142,2,100031655,MANGAORAKA LOOP TK,OPEN,Short Walk,553.556732276554
143,6,100031657,MANGAWEKA SR TK,OPEN,Tramping Track,1660.45583966975
144,6,100031666,SUNRISE TK,OPEN,Easy Tramping Track,5253.59148576061
145,6,100031667,A'DEANES BUSH SR TK,OPEN,Walking Track,710.599218259504
146,6,100031668,MONCKTON SR TK,OPEN,Walking Track,432.157043803201
147,2,100031669,TOKATA TK,OPEN,Walking Track,64.7928078828881
148,3,100031670,TANE MAHUTA WALK,OPEN,Short Walk(disabled),125.595670162327
149,2,100031672,TROUNSON KAURI PARK LOOP WALK,OPEN,Walking Track,1520.58284077063
150,2,100031676,WARO TK INCL HISTORIC TRAMWAY ALIGNMENT,OPEN,Short Walk,891.939605882294
151,2,100031678,PEACH COVE TK,OPEN,Walking Track,2849.75772789704
152,2,100031680,SMUGGLERS TRACK,OPEN,Walking Track,4891.66527553687
153,2,100031681,PUKENUI FOREST LOOP,OPEN,Walking Track,6496.51661269145
154,5,100031778,PYKE TK - ALABASTER HUT TO OLIVINE HUT,OPEN,Route,14076.9522595008
155,2,100031779,Lake Daniell Track,OPEN,Easy Tramping Track,7945.42239268339
156,2,100000697,RARAKAU ROADEND/BREAKNECK RIVER,OPEN,Easy Tramping Track,11811.3725813387
157,5,100000699,Adventure Ridge Route,OPEN,Route,3012.69621314197
158,2,100000701,Mananui Bush Walk,OPEN,Short Walk,534.101972693465
159,6,100000704,CARPARK TO KELLY KNIGHT HUT,OPEN,Tramping Track,2781.15301971482
160,2,100000705,Upper Fenian/Fenian Gold/Adams Flat Trk,OPEN,Walking Track,2770.06985576841
161,2,100000708,Falls River Track,OPEN,Tramping Track,3340.37379732447
162,6,100000709,APITI TK - SOUTHERN BRANCH,OPEN,Tramping Track,1411.57635790802
163,2,100000710,TRACK - BIG HELLFIRE HUT TO DUCK CREEK,OPEN,Tramping Track,15128.5542040187
164,2,100000711,Cedar Flat Hut to Toaroha Rd End Track,OPEN,Tramping Track,8675.22844944193
165,5,100000712,The Gorge Track 'Wanganui Valley',OPEN,Tramping Track,2821.04939216342
166,2,100000714,Snowy Battery Walking Track CLOSED,CLSD,Walking Track,5112.31514834115
167,2,100000716,POTAEMA WALK,OPEN,Short Walk(disabled),423.875989754637
168,2,100000718,SIGNAL STATION TK,OPEN,Short Walk,532.19848175064
169,6,100000721,Pigeon Bay Walkway,OPEN,Walking Track,6873.03163074124
170,2,100000722,RUAKURI BUSHWALK,OPEN,Short Walk,1030.50174877055
171,2,100000724,"REDWOOD TK, KAWAU",CLSD,Walking Track,1578.31883016916
172,2,100000727,Kaheka Point Track,CLSD,Walking Track,1052.05800488947
173,6,100000728,TE PUA HUT TO MANGATOATOA TK JUNCTN,OPEN,Route,8890.89031903019
174,2,100000732,WAIKAWAU BAY NORTHERN BEACH ACCESS TRACK,OPEN,Short Walk,277.852916524184
175,2,100031339,Roaring Bay Walk,OPEN,Short Walk,235.032690712843
176,2,100031340,Nugget Point Walk,OPEN,Short Walk,634.399169250911
177,2,100031341,Harts Creek Track,OPEN,Walking Track,1368.37680506471
178,2,100031342,Tweedies Gully Track,CLSD,Walking Track,1524.47639417722
179,2,100031343,Manuka Bay Track,OPEN,Walking Track,3569.1348063444
180,2,100031344,Major Hornbrook Track,OPEN,Walking Track,1210.26867716551
181,6,100031345,Crater Rim Track,OPEN,Walking Track,1408.12946657279
182,6,100031347,Waterfall (Dog Stream) Track,OPEN,Walking Track,2010.05220549038
183,2,100031349,Tuahu tk (East)/Tuahu Kauri Loop tk,OPEN,Walking Track,5926.83844545947
184,2,100031350,"SWIMMING HOLE TK, AONGATETE",OPEN,Walking Track,439.500999827247
185,2,100031351,OTANEWAINUKU LOOKOUT TK,OPEN,Walking Track,3185.19344362215
186,2,100031352,OTANEWAINUKU RIMU LOOP WALK,OPEN,Walking Track,3653.69856554753
187,2,100031365,"TOTARA WALK, PUREORA",OPEN,Short Walk,957.689076983013
188,2,100031366,Pikiariki Tractor Hauler Track,OPEN,Short Walk,299.609849062067
189,3,100031367,CRAWLER TRACTOR TRACK,OPEN,Short Walk,476.300847341372
190,6,100031368,"FOREST TOWER WALK, PUREORA",OPEN,Short Walk,242.510160021125
191,2,100031369,WAIHAHA TK,OPEN,Walking Track,1988.29112795656
192,3,100031370,Whangamarino Historic Walk,OPEN,Short Walk,878.072281494127
193,2,100031371,Waterworks Walk,OPEN,Walking Track,970.701919691794
194,2,100031372,Mahaukura Track- Grey Rd to Wharauroa Pk,OPEN,Walking Track,3983.94983140633
195,2,100031373,Mangakara Nature Walk,OPEN,Short Walk,1207.19519701986
196,2,100031374,Link Track,OPEN,Walking Track,1423.17645902645
197,2,100031375,Ruapane Track,OPEN,Walking Track,3205.52282029718
198,6,100031377,WAITAHA PA TRACK,OPEN,Tramping Track,93.83367385014
199,6,100031378,TAHUPO TO PUTEORE HUT ROUTE,OPEN,Route,7643.33568083764
200,6,100031379,ATENE SKYLINE TK,OPEN,Tramping Track,12250.8770499791
201,2,100031381,AUROA TRACK - TAUNGATARA TK JCTN TO HUT,OPEN,Tramping Track,3878.12151278349
202,6,100031382,BEEHIVE CREEK W/WAY,OPEN,Tramping Track,4142.72238542745
203,2,100031383,KAPOAIAIA TK,OPEN,Tramping Track,4745.8019720482
204,6,100031384,RUATITI ROADEND TO PARK BOUNDARY SIGN,OPEN,Tramping Track,6851.05819732194
205,2,100031385,PARK BOUNDARY SIGN TO BARTRUMS SWINGBRDG,OPEN,Tramping Track,16138.5217823129
206,2,100031387,KAIWHAKAUKA TK - COOTES CLEARING TO MANG,OPEN,Tramping Track,4238.16480776433
207,6,100031388,PUTEORE HUT TO PUNIWHAKAU ROADEND ROUTE,OPEN,Route,16251.6422714481
208,2,100031390,Falls Lookout Track,OPEN,Walking Track,1345.92276283894
209,2,100031391,TAUWHARE PA HISTORIC SITE/WALK,OPEN,Short Walk,486.593526403514
210,2,100031392,NGA TAPUWAE O TOI WW - MELVILLE SECTION,OPEN,Walking Track,2841.89208202196
211,2,100031393,BLUE LAKE TRACK,OPEN,Walking Track,5556.54387397669
212,2,100031395,NGA TAPUWAE O TOI- FAIRBROTHER LOOP,OPEN,Walking Track,1961.56324306153
213,2,100031396,NGA TAPUWAE O TOI - Burma Rd-Fairbrother,OPEN,Walking Track,1188.08141148848
214,2,100031397,WHITE PINE BUSH WALK,OPEN,Short Walk(disabled),285.522422035912
215,2,100031398,OLD MILL TK,OPEN,Walking Track,1410.2065182074
216,2,100031399,AROHAKI LAGOON TK,OPEN,Walking Track,2505.45277284797
217,2,100031400,ORUIWAKA ECOLOGICAL AREA TK,OPEN,Walking Track,728.591524377849
218,2,100031424,ST PAULS ROCK TK,OPEN,Walking Track,665.076063141621
219,2,100031427,AKE AKE PT TK,OPEN,Walking Track,1306.95137806822
220,5,100031428,MARTINS BAY TK,OPEN,Short Walk,253.663448653778
221,6,100031429,WAIOTEMARAMA LOOP TRACK (SST),OPEN,Short Walk,511.197536949723
222,2,100031430,TE MATUA NGAHERE TK,OPEN,Short Walk,669.976708606157
223,2,100031431,YAKAS TREE,CLSD,Short Walk,1482.18220514643
224,2,100031433,"RICKERS TK, WAIPOUA FOREST",CLSD,Short Walk,141.778250007685
225,2,100031435,PAKOTAI TK,OPEN,Walking Track,81.6902574298345
226,6,100031436,MANGATOATOA TK JNC TO MAKAKOERE HUT TK,OPEN,Route,11940.4351466189
227,6,100031437,MAKAKOERE HUT TO KAHUNUI/MAKAKOERE STM C,OPEN,Route,4831.25212100711
228,6,100031438,MANGATOATOA TK JUNCTN TO SIX FOOT TK JUN,OPEN,Route,5901.61838318695
229,2,100031439,WAIKARE RIVER TO OHANE STM TK,OPEN,Tramping Track,2869.45937983286
230,2,100031440,WAIKARE ROUTE - OTANETEA HUT TO WAIKARE,OPEN,Route,7518.25358354007
231,2,100031441,APITI/WAIPOTIKI TK - PUKAWA STM TO APITI,OPEN,Route,5595.53952610443
232,6,100031442,APITI/WAIPOTIKI TK - APITI HUT TO SADDLE,OPEN,Route,3297.61762353749
233,6,100031443,EAST-WEST- MANGATUTARA HUT 2 Motu river,OPEN,Route,17170.1441641464
234,6,100031444,EAST-WEST- PUKETOETOE RD to Motu River,OPEN,Route,17603.33515417
235,2,100031445,Twilight/Te Werahi Loop Track (Icon),OPEN,Tramping Track,14929.4025799599
236,5,100031446,Twilight to Scott's Point Track (Icon),OPEN,Tramping Track,6373.7315024715
237,2,100031461,Wharauroa Route,OPEN,Tramping Track,3101.22814668947
238,2,100031464,"Waikuku Track, Te Kauri Park",OPEN,Tramping Track,1665.56486814683
239,2,100031465,"Fort Route, Te Kauri Park",OPEN,Tramping Track,1419.95341295467
240,2,100031466,"Tourist Loop Track ""Gavin O'Keefe Walk""",OPEN,Tramping Track,694.187645342008
241,2,100031467,"Medium Gorge Route, Te Kauri Park",OPEN,Tramping Track,2722.77445863804
242,2,100031468,Deversons Route,OPEN,Tramping Track,2092.66955027914
243,2,100031482,KAHIKATEA SHORT WALK,OPEN,Short Walk,713.336857538388
244,6,100031483,KAUAERANGA NATURE SHORT WALK,OPEN,Short Walk,465.167774230649
245,2,100031485,OUTLOOK 76 SHORT WALK,OPEN,Short Walk,1134.09650902336
246,2,100031486,EDWARDS LOOKOUT SHORT WALK,OPEN,Short Walk,597.593568609049
247,3,100031487,WEBB CREEK TO HYDRO CAMP TK,OPEN,Walking Track,3584.63202809471
248,4,100031488,HYDRO CAMP TO PINNACLES HUT TK,OPEN,Walking Track,2567.92453974977
249,4,100031489,BILLYGOAT WALK -(HYDRO -KAUAERANGA RD),OPEN,Walking Track,6337.40194259904
250,2,100031491,ROCKY'S WALK TO TINKER'S GULLY,OPEN,Walking Track,3940.18211049279
251,3,100031492,SQUARE KAURI SHORT WALK,OPEN,Short Walk,89.8950158979152
252,6,100031780,Cann Gorge Hut - Ada Pass Track,OPEN,Easy Tramping Track,3759.12342631316
253,2,100031781,St James Car Park - Cann Gorge Hut Track,OPEN,Easy Tramping Track,7168.92668351339
254,2,100031782,Copland Trk - Crpk to Welcome Flat Hut,OPEN,Easy Tramping Track,15595.859708374
255,6,100031783,ANATOKI BEND TO ANATOKI FORKS HUT,OPEN,Tramping Track,7987.19025427162
256,6,100031784,ANATOKI FORKS HUT TO YULETIDE PEAK,OPEN,Tramping Track,3173.46775287141
257,6,100031785,ANATOKI ROADEND TO ANATOKI BEND,OPEN,Tramping Track,7247.38628195729
258,2,100031786,KILLDEVIL TRACK-CAR PARK TO RIDGETOP,OPEN,Tramping Track,6230.93216590137
259,6,100031789,CHAFFEY HUT TO FENELLA HUT,OPEN,Tramping Track,6801.54872396422
260,5,100031814,Neave Hut to Price Flat Hut Track,OPEN,Tramping Track,9051.32745146676
261,5,100031815,Price Flat Hut to Frew Hut Track,OPEN,Tramping Track,8821.63758710308
262,5,100031816,Whitcombe Pass to Neave Hut Track,OPEN,Tramping Track,4921.79065190678
263,5,100031817,Dickie Spur Route,OPEN,Route,10577.9145982439
264,5,100031818,Hendes Crk to Hunters Hut,OPEN,Tramping Track,7307.72069978278
265,5,100031819,Whataroa swingbridge to Butler Junction,OPEN,Tramping Track,9057.4471076423
266,5,100031820,Butler River Track,OPEN,Tramping Track,5814.58730627425
267,5,100031821,Nolans Hut to Redfield swingbridge,OPEN,Tramping Track,9458.4323653305
268,5,100031822,Whataroa swingbridge to Nolan's Hut,OPEN,Tramping Track,3884.38591573455
269,2,100031823,Mt Fox route,OPEN,Route,3425.29966412605
270,5,100031824,Copland Track - Douglas Rock Hut to Copl,OPEN,Route,6899.31681124176
271,1,100031825,Ross Goldfield Water Race Walkway,OPEN,Walking Track,1147.31689432793
272,6,100031826,Kaniere WRWW - Lake to Ward Road,OPEN,Walking Track,2909.66080282892
273,2,100031828,3 Mile Pack Track,OPEN,Walking Track,4055.02609995637
274,2,100031829,Okarito trig walk,OPEN,Walking Track,853.226329422068
275,5,100031830,Tatare Tunnels Walk,OPEN,Walking Track,1830.54352330238
276,2,100031831,Gillespies Beach Miner's Tunnel Track CL,CLSD,Walking Track,705.070762123521
277,1,100031832,L.Matheson Walk - Jetty to Lk Outlet,OPEN,Walking Track,2483.19747429701
278,6,100031833,MAUD ISLAND GUN EMPLACEMENT TRACK.,OPEN,Walking Track,1499.15825042216
279,2,100031836,SEAWARD DOWNS LOOP TK,OPEN,Walking Track,1199.97592568641
280,5,100031837,LAKE FORSTER ROUTE,OPEN,Track - historic,570.802171579031
281,5,100031838,CROOKED ARM TO DAGG SOUND TK,OPEN,Route,1313.18599208343
282,5,100031839,BREAKSEA ISLAND BIODIVERSITY TRACK,OPEN,Route,100.43381760825
283,6,100031840,WAINGARO PEAK ROUTE,OPEN,Route,1022.1477471247
284,2,100031841,Mt Arthur route,OPEN,Route,4484.56427964474
285,6,100031842,Gordons Pyramid route,OPEN,Route,6152.42487674587
286,2,100031843,Mt Luna route (Stone Creek),OPEN,Route,2953.36891427896
287,2,100031844,Biggs Tops route,OPEN,Route,5155.57744357601
288,2,100031845,Matiri Tops route,OPEN,Route,845.566057466133
289,6,100031846,Lookout Range route,OPEN,Route,15390.914733528
290,2,100031847,Mt Ellis bushline to Top Wairoa Hut,OPEN,Route,6002.60411341131
291,2,100031848,Starveall Hut to Starveall Rd route,OPEN,Route,3420.96545994089
292,6,100032011,"Allans Track, Peel Forest",OPEN,Tramping Track,2253.18209077582
293,2,100032012,White Pine Track,OPEN,Easy Tramping Track,4460.7048856661
294,6,100032013,Lyell Hut Route,OPEN,Route,11034.5610967601
295,2,100032014,South Face Track- Sharplin to Staveley R,OPEN,Tramping Track,3362.71054901358
296,2,100032015,Hook Bush Route,OPEN,Route,2102.55396292544
297,2,100032016,"Sidewinder Trk, Woolshed Creek",OPEN,Easy Tramping Track,880.356448735935
298,6,100032258,KNIGHTS - TOKA TK,OPEN,Tramping Track,3068.60650810567
299,6,100032262,TE EKAOU HUT TO FORKS HUT TK,OPEN,Tramping Track,1309.94249596383
300,2,100032263,OKUI BOUNDARY CIRCUIT TK,OPEN,Tramping Track,1933.75933938678
301,6,100032264,PURITY CARPARK TO WOODEN PEG VIA PURITY,OPEN,Tramping Track,4056.553750597
302,6,100032265,Ruahine Junction to Main Range Track,OPEN,Tramping Track,2848.73398422872
303,6,100032266,WAIOKOTORE CAMPSITE TO POTAE TK,OPEN,Tramping Track,3816.18597952999
304,6,100032267,Mangatera River to Potae High Point,OPEN,Tramping Track,2466.96092706268
305,2,100035363,Lower Moeraki Valley Track,OPEN,Tramping Track,6538.69374338523
306,2,100035364,Ellis Basin route,OPEN,Route,2322.47598233731
307,2,100035365,TUATAPERE DOMAIN TRACKS,OPEN,Walking Track,1527.91795353398
