X,Y,difficulty,Time,
168.662001,-44.913323,Advanced,330,
171.545676,-42.944997,Expert,960,
171.547716,-42.936471,Expert,420,
170.064188,-44.12643,Advanced,180,?
171.40168,-42.62704,Easy,150,
175.822099,-40.149567,Easy,150,
169.652999,-44.405622,Expert,30,
168.637745,-45.019637,Easy,2520,
174.989888,-41.333022,Intermediate,90,
171.893629,-42.245969,Intermediate-Advanced,,
167.63541,-45.866411,Easy,30,
169.624462,-44.378172,Expert,60,
169.213288,-44.122941,Advanced,150,
169.257199,-44.178803,Intermediate,210,
172.330205,-43.160646,Expert,300,
168.498223,-45.073051,Easy,90,
168.527468,-45.073321,Easy,20,
167.365678,-45.77403,Advanced,540,
169.20796,-44.341021,Advanced,420,
176.824863,-39.123802,Easy,?,
167.983534,-45.141192,Advanced,180,
176.207756,-39.031802,Advanced,1440,
170.245221,-43.926994,Advanced,180,
167.156411,-45.463651,Easy,60,
169.435318,-44.528134,Advanced,960,
174.972767,-39.274488,Easy,90,
169.344465,-44.120615,Easy,90,
175.719197,-37.104372,Easy,302.5,
174.823378,-37.825896,Easiest,22.5,
174.492588,-36.070991,Advanced,360,
168.686902,-44.818458,Advanced,300,
167.536345,-45.79223,Easy,90,
175.388984,-36.095533,Expert,510,
175.526895,-40.551229,Advanced,?,
170.979941,-45.121842,Easy,15,
170.608004,-45.894094,Advanced,90,
174.937509,-41.353807,Advanced,120,
169.211242,-44.673502,Easy,45,
173.391475,-41.173324,Easy,198,
170.187288,-43.393405,Easy,80,
176.339171,-39.372495,Advanced,?,
169.31935,-44.176629,Advanced,270,
170.644062,-43.77832,Advanced,210,
170.1661,-43.384607,Easiest,80,
169.585198,-44.217976,Advanced-Expert,230,
174.317971,-35.185072,Advanced,?,
172.678853,-34.428065,Easiest,10,
171.513901,-43.000999,Expert,960,
168.629884,-44.493628,Expert,720,
171.692142,-43.095396,Advanced-Expert,1200,
169.374993,-46.607301,Easy,30,
169.458978,-46.438751,Advanced,720,
174.953692,-41.349277,Advanced,90,
171.74313,-43.19644,Easiest,60,
173.239395,-41.578603,Advanced,960,
172.657202,-43.785403,Easy,?,
171.252206,-43.895417,Easiest-Easy,180,
174.963064,-41.323389,Advanced,150,
169.477881,-44.912381,Advanced,300,
172.695363,-41.182245,Advanced,180,
171.261687,-42.40843,Easy,60,
172.660372,-41.128209,Expert,360,
172.566012,-41.09025,Advanced,270,
169.410963,-44.935836,Easy,15,
176.286056,-39.488808,Advanced,150,
178.326936,-38.382781,Easy,150,
169.879717,-43.610281,Intermediate,420,
175.880748,-40.240002,Advanced,?,
175.411796,-36.496528,Easy,420,
169.193467,-44.495988,Easy,60,
171.378207,-42.289944,Advanced,720,
175.736485,-37.427996,Easy,60,
168.850456,-46.059176,Easy-Advanced,75,
174.110002,-39.294086,Advanced,150,
174.107831,-39.316817,Advanced,145,
174.105836,-39.325001,Easiest,7.5,
174.101437,-39.319404,Easy,?,
168.153543,-44.744398,Expert,300,
170.356162,-44.64319,Easy,60,?
176.017711,-39.985991,Advanced,150,
176.220661,-40.90463,Easy,90,
171.784903,-41.733391,Easy,220,
168.389411,-44.775691,Easy,45,
168.966129,-44.644941,Easy,180,
169.355005,-44.45757,Easy,420,
169.513451,-44.358808,Advanced,1440,
174.645426,-36.345696,Advanced,420,
174.613087,-36.361774,Easy,40,
174.629215,-36.361346,Advanced,90,
171.327425,-43.311968,Advanced,?,
172.26327,-42.530454,Advanced-Expert,?,
172.571301,-40.94437,Expert,2880,
170.178554,-43.415841,Easy,60,
169.70207,-44.512777,Advanced,420,
169.450396,-44.90708,Advanced,300,
167.081145,-45.674902,Advanced,4320,
168.427305,-44.710914,Advanced,4800,
169.749292,-44.35532,Advanced,720,
168.057576,-45.040664,Expert,120,
168.816888,-44.437913,Advanced,150,
171.656449,-42.931492,Expert,1200,
171.681027,-42.877332,Expert,1200,
167.48035,-45.74513,Advanced,270,
175.857056,-37.631957,Advanced,270,
172.687686,-41.233546,Expert,960,
171.229226,-43.896482,Easy,50,
174.282586,-39.122187,Easiest,?,
169.907369,-44.611659,Advanced,180,
168.073669,-44.830172,Expert,330,
175.334371,-36.524916,Advanced,30,
174.083764,-39.314412,Advanced-Expert,330,
172.711117,-40.508941,Easy-Advanced-Expert,300,
173.972534,-41.189484,Easy,40,
175.24258,-40.896882,Intermediate,330,
176.074532,-38.761418,Easiest,45,
172.734368,-41.193403,Easy-Advanced,240,
172.595774,-41.795853,Easiest,15,
175.381562,-36.20442,Advanced,300,
170.170762,-43.43359,Easy,90,
173.835274,-40.926076,Easiest,10,
168.665947,-44.464451,Advanced,420,
175.457073,-40.903385,Easy,225,
167.513648,-45.02085,Expert,210,
168.014868,-44.756756,Expert,300,
172.967653,-40.806865,Advanced,?,
168.94002,-45.016815,Easy,120,
169.056419,-44.21126,Advanced,1680,
169.853943,-43.398089,Easy-Advanced,110,
168.331068,-44.824082,Advanced,180,
168.389648,-44.843248,Easy,90,
174.803131,-36.270877,Easy,50,
170.505632,-43.621973,Advanced,570,
174.455805,-36.847482,Easy-Advanced,120,
175.10037,-39.913177,Easiest,15,
170.039213,-45.918746,Advanced,270,
170.578812,-45.806186,Easy,270,
169.343396,-44.632884,Advanced,300,
169.355053,-44.682322,Advanced,?,
177.959861,-38.596339,Easiest,40,
167.457821,-45.80335,Advanced,270,
168.258736,-44.880563,Intermediate,1920,
172.525663,-43.147213,Easiest,60,
170.959645,-44.666907,Easy,90,
176.703164,-38.639828,Easiest,45,
175.129451,-37.682162,Easiest,30,
175.129389,-37.643284,Advanced,450,
167.146088,-45.469043,Advanced,150,
175.381654,-37.382692,Advanced,720,
175.454245,-36.158891,Advanced,150,
170.423406,-43.0411,Easy,165,
171.436891,-42.887466,Expert,1680,
171.999315,-42.700458,Advanced,270,
172.347892,-43.793289,Easiest,40,
172.880417,-40.944221,Easy,45,
173.455818,-35.523382,Advanced,300,
170.675745,-45.603043,Easy,90,
172.30283,-40.886449,Intermediate,2400,
167.168536,-45.470196,Advanced,120,
175.939013,-37.846606,Advanced,2100,
-176.555991,-43.852168,Easy,120,
170.694016,-45.766098,Advanced,120,
169.683398,-44.412967,Expert,120,
175.078703,-38.009935,Advanced,210,
176.497785,-38.03409,Easy,90,
169.253212,-43.823288,Advanced,1440,
171.018026,-42.955987,Easiest,15,
175.351379,-40.983707,Intermediate,1440,
175.446205,-40.90177,Intermediate,450,
168.064625,-44.517842,Advanced,2160,
168.125902,-44.661294,Advanced,300,
172.766947,-42.426674,Easy,300,
175.824617,-41.346597,Easy-Expert,330,
173.958973,-35.220341,Easy,60,
170.962,-44.626514,Expert,60,
172.237933,-42.636442,Advanced-Expert,?,
169.824066,-43.964402,Advanced,560,
174.13607,-35.882505,Advanced,225,
176.086357,-38.658928,Easiest-Easy,?,
167.375506,-46.184771,Intermediate,1440,
170.668048,-45.639454,Easy,45,
172.159941,-42.6913,Advanced-Expert,?,
168.030284,-44.906264,Advanced,180,
169.812219,-44.029851,Advanced,540,
172.934918,-40.912858,Advanced,1440,
168.463712,-44.727909,Easy,180,
176.035718,-39.948008,Advanced,270,
169.193467,-44.495988,Advanced,360,
168.605262,-43.986884,Easy,70,
172.300907,-42.739319,Advanced-Expert,,
176.298653,-37.949059,Advanced,45,
175.601863,-41.063015,Easiest,30,
175.90823,-40.081266,Easy,20,
173.596344,-35.794549,Easy-Advanced,75,
172.600785,-40.553064,Easy,10,
173.699033,-42.428536,Easy,92.5,
175.928506,-37.870343,Advanced,20,
175.82144,-39.151577,Easy,25,
175.525954,-36.735994,Advanced,90,
176.816969,-39.919087,Easiest,20,
173.959855,-39.154241,Easy,300,
175.431561,-36.208121,Easiest-Advanced,132.5,
172.557407,-40.640089,Expert,260,
172.694503,-43.716335,Intermediate,80,
176.382748,-37.753143,Easy,75,
175.25778,-38.070711,Advanced,150,
174.121709,-39.306651,Easiest,20,
171.110483,-42.773123,Easy,310,
175.067986,-37.938631,Advanced,360,
175.080061,-37.932458,Easy,150,
169.340352,-44.945739,Advanced,300,
175.138351,-40.917285,Advanced,420,
174.931658,-40.851143,Easy,180,
172.783555,-34.453403,Easy,180,
175.078562,-37.773522,Advanced,30,
175.094917,-37.861967,Advanced,28,
175.746021,-37.418859,Easy,142.5,
175.724228,-37.427025,Easiest,60,
169.856723,-43.656887,Expert,960,
173.399456,-34.827235,Easiest,5,
174.798374,-37.868981,Advanced,90,
176.142082,-39.935538,Advanced,?,
175.488703,-36.758047,Easy,90,
174.205583,-36.101686,Easiest,15,
174.128407,-35.893382,Easy,55,
175.154322,-37.609306,Easy,120,
173.628242,-35.234824,Easy,10,
175.865006,-38.638305,Easy,150,
172.616985,-41.690615,Easiest,20,
176.400117,-39.282512,Advanced,?,
176.415927,-39.307641,Easiest,?,
168.452662,-44.62401,Advanced,4320,
170.964872,-44.698519,Easy,30,
176.040985,-39.841008,Advanced,180,
167.574976,-45.451472,Intermediate,1680,
167.684289,-45.420796,Easy,120,
167.6524,-45.407401,Intermediate,540,
167.683892,-45.46797,Intermediate,150,
167.682723,-45.469489,Intermediate,285,
173.952251,-35.216866,Easy,90,
175.651223,-39.090081,Intermediate,270,
169.262977,-44.439785,Easiest,30,
175.998206,-39.020721,Easy,75,
175.541361,-40.811151,Easy,30,
171.969911,-42.08878,Advanced-Expert,1200,
176.025746,-39.990731,Advanced,1440,
176.028709,-39.995559,Advanced,540,
172.551864,-40.634096,Advanced,80,
175.077648,-40.877868,Easiest,30,
173.963922,-35.218832,Easy,20,
175.928738,-40.1738,Advanced,?,
176.39214,-39.340676,Advanced,?,
168.816888,-45.059869,Advanced,90,
170.053052,-44.551721,Easy,150,
173.321306,-41.567918,Advanced,105,
172.139601,-42.483895,Advanced,1200,
171.049008,-43.597992,Easy-Advanced,300,
172.251741,-42.32432,Intermediate,180,
168.554284,-45.036238,Easy,210,
168.547065,-45.055855,Easy,90,
174.082699,-39.327664,Advanced,450,
171.252905,-43.491586,Advanced,?,
171.080694,-43.633089,Advanced,180,
167.368851,-45.984107,Advanced,240,
167.335743,-46.026506,Advanced,540,
167.387268,-45.991931,Easy,40,
169.43331,-44.341489,Advanced,660,
168.801464,-44.979611,Easy,150,
171.207343,-43.481082,Easy,73.75,
177.13439,-38.801546,Advanced,60,
171.147064,-42.801985,Easiest,8,
171.134158,-42.842884,Easy,240,
171.684518,-42.784279,Expert,555,
168.102129,-44.806976,Easy,20,
168.092493,-44.799972,Advanced,100,
167.823678,-45.200974,Easy,45,
167.517481,-45.816047,Easiest,30,
173.196224,-35.032715,Easy,60,
169.864259,-44.287504,Advanced,?,
173.380355,-34.967306,Easy,10,
176.422564,-38.119873,Advanced,110,
172.616308,-41.158644,Advanced,310,
170.112076,-44.14603,Easiest-Expert,130,
168.322133,-44.950084,Easy,300,
172.832931,-41.842122,Advanced,510,
172.594735,-41.802485,Easy,102.5,
169.36685,-45.295806,Easy-Advanced,420,
168.321956,-44.715347,Easy,100,
170.471237,-43.991443,Advanced,135,
176.908391,-39.222008,Easiest-Easy,100,
177.163856,-38.73385,Easy,120,
177.025401,-38.752476,Intermediate,750,
177.084211,-38.792168,Intermediate,720,
170.172469,-43.407653,Easy,90,
174.535163,-36.066838,Easy,180,
176.446566,-39.354096,Advanced,?,
173.121352,-41.941561,Expert,2160,
174.796649,-38.414508,Intermediate,360,
170.500293,-45.801109,Easy-Advanced,210,
172.439503,-41.316558,Advanced,450,
172.542632,-42.278661,Expert,270,
172.389368,-42.379685,Advanced,90,
175.958477,-37.781054,Advanced,120,
176.231094,-40.900828,Easiest,30,
175.857941,-37.537496,Advanced,300,
169.599108,-44.775114,Advanced,540,
177.388115,-38.279664,Advanced,150,
171.227683,-43.896187,Advanced,270,
168.665947,-44.464451,Advanced,360,
172.741763,-41.18144,Advanced,270,
173.564366,-35.656772,Advanced,60,
176.439973,-39.300592,Advanced,210,
168.772812,-45.137258,Advanced,240,
170.624913,-43.653471,Advanced,300,
175.902909,-40.167147,Advanced,300,
177.879772,-39.125763,Advanced,180,
170.904751,-42.791258,Easiest,20,
173.850628,-34.994486,Easy,60,
174.802487,-38.470915,Advanced,480,
174.126152,-35.882995,Advanced,150,
173.412972,-34.821654,Advanced,90,
176.426637,-39.227227,Advanced,?,
174.697417,-41.223885,Advanced,?,
169.386173,-44.137355,Advanced,360,
174.091784,-39.2789,Advanced,180,
170.93277,-42.783596,Easy,150,
175.816657,-40.339706,Easiest,20,
175.80254,-40.324942,Easy,240,
175.434675,-40.624988,Advanced,840,
173.71706,-35.20065,Advanced,150,
173.425514,-35.209319,Advanced,570,
177.408034,-38.278097,Advanced,210,
177.721894,-38.990582,Easy,20,
177.309069,-38.170406,Advanced,210,
175.059448,-39.207301,Advanced,1680,?
174.74854,-38.430299,Advanced,480,
175.779966,-39.809901,Easy,60,
173.799782,-35.19879,Easiest,15,
176.255891,-39.669321,Advanced,150,
176.153181,-37.971362,Expert,330,
169.852902,-44.658424,Advanced,360,
173.298376,-42.897841,Intermediate,105,
175.781413,-37.261166,Advanced,300,
177.310239,-38.078972,Easy,25,
174.849178,-38.260527,Easiest,20,
174.090957,-35.168355,Easy,40,
173.371187,-35.53639,Easiest,5,
170.329615,-44.206423,Advanced,120,
176.300688,-39.627293,Advanced,150,
169.485915,-46.504055,Easiest,30,
175.53166,-36.619453,Advanced,180,
174.858544,-39.340627,Advanced,1920,
174.990159,-36.777342,Advanced,55,
172.357456,-41.606542,Advanced-Expert,,
174.866523,-41.255969,Easy,10,
174.866137,-41.259483,Easy,30,
173.555991,-35.746185,Easy-Advanced,90,
174.812052,-36.827561,Easiest,60,
168.241175,-45.023962,Advanced,1920,
176.065289,-39.77319,Advanced,540,
169.349459,-46.5716,Easiest,40,
174.115465,-39.102741,Easiest,?,
169.580841,-44.459488,Advanced,540,
176.008781,-40.05338,Advanced,360,
174.936643,-41.345646,Easy,60,
170.870781,-43.044116,Advanced-Expert,1200,
169.041448,-44.547819,Easy,?,
171.860764,-42.894248,Expert,1680,
171.616555,-42.884004,Expert,1200,
170.01791,-43.468848,Easiest,20,
168.010272,-45.029872,Easiest,10,
168.044259,-44.894573,Advanced,180,
175.486059,-40.856753,Advanced,510,
177.278149,-38.413661,Advanced,1200,
170.826236,-45.346313,Easiest,10,
169.400273,-43.806246,Advanced-Expert,960,
176.725907,-38.714963,Advanced,1200,
176.902393,-39.858388,Easiest,45,
174.62945,-36.465472,Easiest-Advanced,,
176.082199,-38.186315,Advanced,120,
168.566842,-45.004504,Easy,150,
174.682152,-38.975784,Advanced,480,
174.47424,-36.84126,Easy,40,
174.465259,-36.842507,?,150,
173.20143,-42.094203,Advanced,?,
176.283287,-39.964954,Easiest,105,
167.542504,-45.574698,Advanced,105,
171.438802,-42.263274,Easy,150,
171.387958,-42.265246,Expert,240,
168.103373,-44.701088,Expert,540,
170.024125,-43.484636,Easiest,30,
174.395887,-35.473205,Advanced,120,
168.903288,-44.776573,Advanced,1680,
174.273644,-41.095483,Easy,30,
174.792314,-36.505694,Easy,90,
174.193144,-35.221681,Easy,150,
174.914164,-36.782432,Expert,75,
174.471998,-35.511789,Easy,120,
170.464692,-43.244978,Expert,960,
168.356564,-44.776229,Advanced,30,
172.705294,-41.203382,Expert,240,
174.44655,-36.45021,Advanced,105,
171.22407,-43.63237,Advanced,150,
169.398927,-44.084268,Advanced,420,?
174.784222,-38.922318,Easiest,30,
174.827006,-38.908761,Advanced,480,
169.997663,-43.490873,Expert,540,
178.054285,-37.912848,Advanced,420,
172.821264,-41.827155,Advanced,300,
169.244173,-44.235035,Advanced,300,
171.398521,-43.632116,Advanced,300,
171.366957,-43.607106,Intermediate-Advanced,2880,
174.1196,-41.08683,Advanced,240,
170.899071,-43.545961,Easy,30,
174.083282,-39.287822,Advanced-Expert,330,
171.173298,-42.814481,Advanced,420,
173.813677,-35.750773,Advanced,180,
175.02293,-37.20805,Advanced,?,
167.381015,-45.747309,Advanced,45,
168.535544,-45.054918,Easy,180,
173.505612,-41.474801,Expert,340,
173.597341,-42.297216,Easy-Expert,742.5,
172.53545,-43.128216,Easy-Advanced,?,
175.449172,-40.881012,Intermediate,720,
168.421033,-44.851525,Intermediate-Advanced,112.5,
174.971915,-41.34014,Advanced,600,
168.435239,-44.846472,Advanced,540,
174.960026,-41.325223,Advanced,360,
176.189416,-38.124013,Easy,90,
176.18702,-38.127547,Easiest,60,
170.869203,-44.433313,Advanced,150,
172.563669,-41.523287,Advanced-Expert,480,
172.079779,-43.240606,Advanced,480,
172.258608,-43.183109,Advanced,300,
173.423693,-41.481157,Expert,960,
173.692537,-41.425915,Advanced,480,
174.715042,-36.307139,Advanced,150,
172.337213,-43.17518,Advanced,330,
175.841568,-39.165391,Advanced,210,
173.252223,-41.597229,Expert,330,
170.087253,-43.719166,Advanced,240,
175.356552,-36.477376,Easy,120,
174.11677,-35.254812,Easy,15,
171.30187,-43.626941,Easy,30,
171.526574,-42.401569,Easiest,55,
168.964794,-45.151074,Advanced,240,
174.92412,-41.349889,Easy,45,
175.908494,-37.760512,Advanced,360,
177.160335,-38.783183,Advanced,360,
175.97851,-37.797371,Easy,90,
176.01478,-39.042418,Advanced,270,
177.305354,-38.343942,Advanced,90,
172.331963,-42.464215,Advanced-Expert,?,
176.286926,-39.548584,Advanced,?,
175.877947,-40.18708,Advanced,150,
176.179267,-39.821873,Advanced,?,
176.195697,-39.79823,Easiest,?,
167.496581,-45.720591,Advanced,420,
174.108386,-39.25752,Easiest,60,
174.094718,-39.270993,Advanced,?,
167.910611,-46.867313,Advanced,4800,
175.844804,-37.648575,Expert,360,
169.81038,-46.446317,Easiest,40,
175.499526,-39.3315,Advanced,270,
175.384587,-39.375137,Easy,270,
170.143609,-43.229003,Easiest-Easy,115,
176.343681,-38.010832,Easiest,30,
178.100482,-38.664463,Easiest,30,
175.520915,-39.041764,Easy,?,
174.72678,-36.65544,Easy,?,
167.170034,-45.478922,Advanced,180,
173.725754,-35.194784,Advanced,60,
177.123776,-38.79588,Advanced,120,
175.123615,-38.26222,Easy,20,
176.212247,-38.765627,Easiest,45,
175.623521,-36.720969,Easiest,15,
173.743015,-41.128311,Easy,60,
174.071833,-35.319954,Easy,30,
171.179872,-43.983654,Easy,90,
175.932347,-37.380158,Easy,240,
170.588759,-45.757727,Easy,60,
174.074665,-35.30662,Intermediate,150,
174.953112,-41.341924,Easy,120,
175.897619,-38.910774,Easy,40,
169.735722,-45.05354,Easy,?,
174.285901,-35.763588,Easy,150,
175.222478,-40.882574,Easy,80,
172.692661,-43.627924,Easiest-Easy,150,
176.208307,-37.889724,Easy,120,
176.829948,-39.548584,Easiest,45,
176.246676,-37.800157,Advanced,15,
176.246676,-37.800157,Advanced,240,
177.700047,-38.468699,Easy,150,
172.644111,-43.433208,?,?,
173.963922,-35.218832,Easiest,5,
175.723153,-39.647959,Easiest,10,
174.083392,-35.289015,Easy,60,
177.461341,-38.157855,Intermediate,390,
170.206333,-43.248793,Easiest,30,
173.857523,-35.715147,Easy,10,
175.431075,-36.69919,Easiest,40,
175.232514,-40.646553,Easiest,15,
175.04735,-41.318675,Advanced,720,
169.473292,-46.564246,Easy,50,
172.697672,-40.839063,Expert,300,
175.081324,-40.879059,Easy,90,
168.131192,-44.804848,Advanced,240,
174.53101,-35.715721,Easiest,?,
169.645069,-44.474612,Advanced,540,
172.811789,-40.887197,Easy,30,
174.56917,-35.848761,Easy,180,
171.49161,-43.317707,Expert,180,
168.66593,-44.463917,Advanced,690,
167.588453,-45.580147,Advanced,195,
167.581777,-45.591376,Advanced,270,
167.569586,-45.602938,Advanced,270,
173.574686,-41.29936,Easiest-Advanced,122.5,
174.422958,-35.43504,Easy,105,
169.026098,-45.538959,Advanced,225,
170.187392,-46.054188,Easiest,45,
172.360758,-43.135939,Advanced,180,
175.236517,-41.44828,Easy,180,
174.86266,-38.255394,Easiest,5,
174.39006,-36.06467,Easy,5,
175.078202,-37.95829,Advanced,720,
175.078703,-38.009935,Advanced,300,
175.127825,-37.98135,Advanced,720,
175.388353,-36.169584,Advanced,165,
175.388671,-36.192375,Advanced,135,
175.366819,-36.167392,Easy,60,
171.058464,-43.53639,Advanced,400,
174.052466,-39.263676,Advanced,1200,
174.053316,-39.235814,Advanced,495,
174.072524,-39.22393,Advanced,?,
171.518965,-43.551591,Expert,?,
173.703324,-35.235466,Intermediate,120,
175.754709,-38.908394,Easy,62.5,
175.1885,-40.893781,Advanced,540,
173.608321,-35.237016,Advanced,150,
174.256672,-35.708399,Easy,?,
174.425522,-35.452395,Easy,150,
176.038866,-39.839548,Advanced,1200,
176.036925,-39.814145,Advanced,210,
176.038866,-39.839548,Advanced,1680,
168.076063,-44.496706,Expert,?,
169.794086,-44.363869,Advanced-Expert,90,
173.572182,-41.463808,Expert,480,
169.240973,-44.994596,Easy,30,
174.069329,-41.205181,Easy,35,
174.087409,-41.196532,Intermediate,1920,
173.942699,-35.214249,Easiest,10,
171.645677,-43.508761,Easy,210,
174.887143,-36.780769,Easy,?,
174.85517,-36.807931,Easy,60,
174.818434,-41.146908,Easy,240,
176.026215,-39.899844,Advanced,960,
176.007524,-39.897251,Easy,120,
175.912385,-37.892557,Advanced,75,
168.46721,-44.693572,Advanced,2160,
176.057282,-39.926985,Advanced,1440,
174.727757,-38.945391,Advanced,210,
170.622147,-43.872603,Easy,270,
177.796562,-38.981836,Advanced,120,
175.215852,-41.167121,Easy,180,
172.90087,-41.032832,Easiest,10,
168.724066,-44.494151,Easy,210,
170.178247,-43.432164,Advanced,620,
175.44973,-40.902876,Easy,90,
167.459286,-45.835736,Advanced-Expert,315,
176.020205,-40.124957,Easiest,60,
176.091622,-38.651955,Easy,60,
176.550367,-38.044985,Easy,20,
175.740363,-39.023058,Easy,120,?
172.274869,-42.396629,Advanced,330,
175.62808,-39.290129,Advanced,2400,
168.181496,-44.760314,Intermediate,1440,
176.099043,-39.700159,Advanced,1920,
174.475884,-35.861832,Easy,60,
175.077463,-38.265829,Easiest,45,
175.129978,-37.968716,Easy-Advanced,75,
177.136749,-38.730047,Advanced,360,
174.141705,-35.453044,Easy,30,
172.06973,-43.253408,Easy,300,
170.638781,-45.893582,Easy,120,
170.666706,-45.893187,Easy,150,
169.258881,-44.428023,Advanced,210,
168.296875,-44.763385,Advanced,360,
168.57986,-45.063077,Easy,120,
168.710589,-45.326534,Advanced,75,
168.68132,-44.511619,Expert,360,
173.368882,-35.535505,Easiest,15,
170.479291,-45.747878,Advanced-Expert,?,
173.467028,-35.508721,Advanced,120,
169.072869,-44.722126,Advanced,6300,
175.257033,-41.065776,Advanced,240,
174.529499,-35.854647,Easy,120,
167.520578,-45.758812,Advanced,180,
167.242204,-46.242701,Intermediate-Advanced-Expert,1170,
168.146768,-45.330529,Easy,?,
167.88232,-46.957926,Advanced,2400,
172.781446,-41.836658,Intermediate,120,
175.571237,-36.989997,Easiest,20,
172.872598,-41.818772,Advanced,300,
172.624215,-42.254775,Advanced,?,
172.491736,-42.391936,Advanced,2400,
173.749879,-35.048392,Easy,30,
168.588517,-43.999231,Expert,240,
172.643854,-42.378199,Expert,360,
167.492798,-45.543042,Easy,50,
175.174157,-36.763632,Advanced,?,
171.009729,-44.760575,Easy,?,
168.317107,-44.688776,Advanced,540,
176.183022,-39.792327,Easy,150,
170.089683,-45.57107,Easiest,50,
172.656538,-41.106955,Easy,120,
176.077568,-39.939897,Advanced,1440,
172.682622,-41.192383,Easy-Expert,960,
173.52485,-35.538663,Advanced,120,
167.9397,-45.697305,Advanced,?,
171.239238,-44.087045,Easiest,8,
173.527402,-35.600637,Easiest,5,
174.134748,-35.892819,Easy,65,
176.877064,-39.301553,Easiest-Easy,75,
174.11984,-35.243857,Easy,15,
172.6957,-34.429123,Easy,180,
175.263644,-40.974617,Advanced,1440,
176.519544,-38.159507,Easiest,20,?
176.512328,-38.174108,Easy,120,
176.464473,-38.177059,Advanced,180,
176.403595,-38.22316,Advanced,330,
172.172575,-43.075223,Advanced,960,
173.977597,-35.131336,Easy,50,
170.163001,-43.821644,Advanced,150,
170.201516,-43.387143,Easy,80,
173.502319,-34.989664,Easiest,40,
177.291043,-38.207934,Easy,120,
175.549911,-39.072149,Easy,150,
169.437736,-46.579576,Easiest,20,
174.911023,-41.352884,Easiest,30,
174.907459,-38.30969,Advanced,270,
170.178317,-43.408538,Easy,120,
172.78462,-43.71553,Intermediate-Advanced,1200,
175.637194,-40.725553,Easy,120,
175.079874,-40.875918,Advanced,210,
175.792578,-38.816131,Advanced,45,
174.43659,-36.86727,Easy-Intermediate,?,
173.532676,-35.608515,Easiest,20,
172.755615,-34.457326,Easy,210,
176.419451,-39.178125,Intermediate,720,
177.518096,-38.830248,Easiest,5,
175.852991,-37.59111,Advanced,420,
175.62146,-37.814006,Advanced,210,
177.395565,-38.149268,Advanced,120,
177.385703,-38.118776,Easy,45,
170.027319,-43.482819,Easy,140,
172.693359,-34.479261,Easy,180,
172.678059,-34.445827,Easy,45,
167.233984,-46.104265,Expert,600,
167.339704,-46.12135,Advanced,600,
169.800085,-44.116943,Advanced,?,
170.184529,-43.392953,Easiest,30,
167.950341,-44.721436,Easiest,20,
171.344016,-42.949539,Expert,2160,
176.330113,-38.182863,Easiest,30,
169.435318,-44.528134,Advanced,?,
174.890259,-36.599845,Easiest-Easy,80,
170.113196,-46.001617,Easiest,10,
171.136274,-42.984627,Advanced-Expert,2160,
171.247095,-42.947594,Advanced-Expert,1680,
173.562458,-35.673319,Easiest,10,
174.413162,-35.44561,Easy,90,
175.763331,-38.967902,Easiest,20,
175.51373,-36.720936,Easy,30,
173.975779,-36.058133,Easy,20,
