@relation CoreDataSet-Train-weka.filters.unsupervised.attribute.NumericToNominal-Rlast_predicted

@attribute difficulty {Easy,Intermediate,Easiest,Advanced,Expert,'Easy,Expert','Advanced,Expert','Easiest,Easy','Easiest,Expert','Easiest,Advanced','Intermediate,Advanced,Expert','Easy,Advanced','Intermediate,Advanced'}
@attribute Shape__Length numeric
@attribute X numeric
@attribute Y numeric
@attribute 'prediction margin' numeric
@attribute 'predicted Class' {0,1,2}
@attribute Class {0,1,2}

@data
Easiest,200.304806,176.215495,-38.401156,0.999999,0,0
Easy,1945.604475,174.85517,-36.807931,0.999942,0,0
Easy,2690.014668,171.179872,-43.983654,0.526408,0,0
Easiest,1693.526664,174.043296,-39.103996,0.999999,0,0
Easiest,970.70192,175.137101,-37.662708,0.993339,0,0
Advanced,11422.56164,174.802487,-38.470915,1,1,1
Easy,643.27841,177.310239,-38.078972,0.999935,0,0
Easiest,1362.962096,175.623521,-36.720969,0.86693,0,0
Easiest,151.515708,174.86266,-38.255394,0.999997,0,0
Advanced,21858.26064,169.072869,-44.722126,0.84047,2,2
Easy,1590.882815,172.861803,-40.881495,-0.240245,1,0
Advanced,3070.054227,174.990159,-36.777342,0.248745,0,0
Advanced,20543.11825,175.04735,-41.318675,0.999258,2,2
Easy,7011.897881,171.784903,-41.733391,-0.536482,1,0
Advanced,40119.91518,175.263644,-40.974617,0.999633,2,2
Easy,2280.081638,175.82144,-39.151577,-0.062204,1,0
Expert,7337.96206,168.057576,-45.040664,0.999996,1,1
Easy,2717.697436,173.850628,-34.994486,0.991383,0,0
Easiest,1016.771432,172.616985,-41.690615,1,0,0
Expert,7977.655449,173.572182,-41.463808,1,1,1
Easiest,246.126518,173.942699,-35.214249,0.952809,0,0
Easy,4191.582229,176.007524,-39.897251,0.369464,1,1
Advanced,18593.83517,168.964794,-45.151074,0.999999,1,1
Easiest,372.077664,174.849178,-38.260527,0.999998,0,0
Easy,2596.396968,175.236517,-41.44828,0.365911,1,1
Easy,719.681471,173.627554,-35.239921,0.982203,0,0
Easiest,3579.641885,169.970114,-43.446986,1,0,0
Advanced,4395.838145,174.317971,-35.185072,0.990804,1,1
Easiest,89.895016,175.571237,-36.989997,0.992195,0,0
Easy,7094.916432,174.818434,-41.146908,0.990147,1,1
Expert,29384.06784,171.656449,-42.931492,1,2,2
Advanced,62747.805,167.081145,-45.674902,0.995875,2,2
Easy,3027.133188,176.883435,-39.481932,-0.360145,1,0
Easiest,89.895016,175.571237,-36.989997,0.992195,0,0
'Advanced,Expert',34534.85086,172.784208,-41.853425,0.99964,2,2
Easy,2104.215157,175.961235,-38.697811,0.75489,0,0
Advanced,5785.583899,176.286056,-39.488808,0.999998,1,1
Easy,3456.269258,174.475884,-35.861832,0.999922,0,0
Advanced,15962.11912,176.246676,-37.800157,-0.999973,1,0
Advanced,1131.947017,176.298653,-37.949059,0.380823,0,0
Easy,9112.758816,170.053052,-44.551721,0.967221,1,1
Easiest,246.126518,173.942699,-35.214249,0.952809,0,0
Easy,2444.081838,168.720757,-45.319567,0.541121,0,0
Easy,9112.758816,170.053052,-44.551721,0.967221,1,1
Advanced,8617.298125,169.343396,-44.632884,1,1,1
'Advanced,Expert',92893.99727,174.093759,-39.272137,0.999633,2,2
Advanced,8241.54867,170.039213,-45.918746,0.989877,1,1
Easy,1334.950782,174.083392,-35.289015,0.999122,0,0
Easy,3455.563327,167.704828,-45.438016,0.540351,0,0
Advanced,9481.501485,175.781413,-37.261166,1,1,1
Advanced,7260.622087,176.255891,-39.669321,0.999999,1,1
Easiest,1500.968132,169.437736,-46.579576,0.999994,0,0
Advanced,18213.47197,170.624913,-43.653471,1,1,1
Easy,2847.839102,168.547065,-45.055855,0.533284,0,0
Advanced,6753.046451,170.329615,-44.206423,1,1,1
Easiest,1256.537599,173.532676,-35.608515,0.896083,0,0
Easy,1243.332956,170.356162,-44.64319,0.531442,0,0
Easy,7792.587138,175.222478,-40.882574,-0.999995,1,0
'Advanced,Expert',1546.008173,169.794086,-44.363869,0.999994,1,1
Advanced,8045.104635,175.486059,-40.856753,1,1,1
Easy,291.435803,173.975779,-36.058133,0.999945,0,0
Easy,3965.725559,176.264474,-39.720375,0.368304,1,1
Easiest,1016.771432,172.616985,-41.690615,1,0,0
Advanced,78581.5092,176.207756,-39.031802,0.999633,2,2
Easy,2629.400057,176.014874,-38.736196,-0.073169,1,0
Expert,2038.63973,169.683398,-44.412967,-0.276276,0,1
Easy,2847.839102,168.547065,-45.055855,0.533284,0,0
Intermediate,6461.33931,172.781446,-41.836658,0.999882,1,1
Expert,11751.04192,171.387958,-42.265246,0.995842,1,1
Advanced,18841.85081,174.960026,-41.325223,-0.993526,2,1
Easy,587.172263,174.134748,-35.892819,0.999943,0,0
Advanced,27068.09638,169.812219,-44.029851,1,1,1
Easy,2244.825728,175.154322,-37.609306,0.999768,0,0
Easy,1747.25978,174.352711,-35.928459,-0.999945,0,1
Easy,4191.582229,176.007524,-39.897251,0.369464,1,1
Advanced,16454.82476,173.827518,-42.236041,1,1,1
Expert,4832.004755,173.848472,-42.199905,1,1,1
'Easiest,Expert',4490.586857,170.112076,-44.14603,0.99998,1,1
Expert,7858.156653,176.153181,-37.971362,1,1,1
Easiest,2024.435791,176.020205,-40.124957,0.999997,0,0
Easy,1830.543523,170.201516,-43.387143,0.519568,0,0
Easy,512.828967,167.823678,-45.200974,0.551986,0,0
Advanced,27068.09638,169.812219,-44.029851,1,1,1
Easiest,798.280113,176.519544,-38.159507,0.999997,0,0
Easy,4520.67917,175.44973,-40.902876,-0.368838,1,0
Advanced,2992.429545,177.800795,-38.984819,0.999981,1,1
Easy,3455.563327,167.704828,-45.438016,0.540351,0,0
Intermediate,11635.69132,173.703324,-35.235466,1,1,1
Expert,45151.34487,171.344016,-42.949539,1,2,2
Easy,552.552702,168.126725,-44.695017,0.535599,0,0
Advanced,4112.017564,170.064188,-44.12643,0.999999,1,1
Easy,2249.252265,175.897619,-38.910774,0.225902,0,0
Easy,3001.665476,176.497785,-38.03409,0.110961,0,0
Easy,1945.604475,174.85517,-36.807931,0.999942,0,0
Advanced,4525.194931,173.71706,-35.20065,0.990933,1,1
Easy,2575.691201,170.170762,-43.43359,-0.508756,0,1
Easiest,372.077664,174.849178,-38.260527,0.999998,0,0
Advanced,12327.64082,174.747782,-39.521372,1,1,1
Easy,3217.853171,178.040014,-38.640642,0.350245,1,1
Advanced,15279.22086,175.388671,-36.192375,1,1,1
Easy,622.142677,167.63541,-45.866411,0.637356,0,0
Easy,1887.201153,174.972767,-39.274488,0.591663,0,0
Easy,3493.115493,175.093954,-38.260969,0.231539,1,1
Advanced,14064.61602,169.026098,-45.538959,1,1,1
Easy,3408.967142,-176.555991,-43.852168,1,0,0
Easiest,1162.419368,176.456091,-38.248426,0.999998,0,0
Easiest,1693.526664,174.043296,-39.103996,0.999999,0,0
Easiest,631.219432,175.10037,-39.913177,1,0,0
Advanced,12345.70847,175.42479,-36.215681,1,1,1
Easy,665.076063,173.749879,-35.048392,0.706264,0,0
Intermediate,53855.50795,167.78562,-44.813536,0.996095,2,2
Advanced,2443.805508,177.796562,-38.981836,0.999942,1,1
Easy,9261.72863,171.881282,-41.609507,0.999999,1,1
Easy,3217.853171,178.040014,-38.640642,0.350245,1,1
Easiest,798.280113,176.519544,-38.159507,0.999997,0,0
Advanced,1131.947017,176.298653,-37.949059,0.380823,0,0
Intermediate,53855.50795,167.78562,-44.813536,0.996095,2,2
Easy,4269.919687,172.678059,-34.445827,0.47607,0,0
Easiest,1500.968132,169.437736,-46.579576,0.999994,0,0
Advanced,35089.00364,174.858544,-39.340627,0.999633,2,2
Easy,348.833726,174.111633,-35.284448,0.981349,0,0
Easiest,970.70192,175.137101,-37.662708,0.993339,0,0
Easy,17562.7012,172.783555,-34.453403,0.999999,1,1
Easy,1873.107038,170.250498,-45.844638,-0.599305,0,1
Easiest,1093.34753,175.715037,-36.833084,0.966793,0,0
Easy,18192.86097,169.259597,-44.713347,0.999999,1,1
'Advanced,Expert',45410.00684,170.478965,-43.348805,1,2,2
Advanced,15962.11912,176.246676,-37.800157,0.999947,1,1
Easy,7946.474761,172.831571,-41.844048,0.998856,1,1
'Advanced,Expert',31680.65758,171.692142,-43.095396,1,2,2
Easy,4036.884872,174.193144,-35.221681,-0.999903,0,1
Easy,22119.96399,175.933437,-38.685913,0.999999,1,1
Intermediate,65134.84337,174.087409,-41.196532,1,2,2
Easy,4373.612159,170.666706,-45.893187,0.602884,0,0
Easy,2709.911463,168.389411,-44.775691,0.530309,0,0
Easy,2458.612226,175.540827,-37.026124,-0.999884,0,1
Advanced,27068.09638,169.812219,-44.029851,1,1,1
Expert,8290.61593,174.914164,-36.782432,1,1,1
'Advanced,Expert',31680.65758,171.692142,-43.095396,1,2,2
Advanced,5731.120804,169.31935,-44.176629,1,1,1
Advanced,2123.484631,173.738291,-35.21557,0.402445,0,0
Easy,2244.825728,175.154322,-37.609306,0.999768,0,0
Advanced,70247.81711,175.62808,-39.290129,0.999633,2,2
Easy,1306.951378,174.045518,-35.191977,0.992236,0,0
Easiest,259.749932,170.331346,-43.160405,1,0,0
Easy,208.282912,173.380355,-34.967306,0.496138,0,0
Easy,100.49515,167.928178,-44.672785,0.540917,0,0
Easy,291.435803,173.975779,-36.058133,0.999945,0,0
Easy,3421.535853,175.998206,-39.020721,-0.355277,1,0
Advanced,125082.131,172.439503,-41.316558,0.999892,2,2
Advanced,15279.22086,175.388671,-36.192375,1,1,1
Easy,329.691574,167.156411,-45.463651,0.575373,0,0
Easy,1873.107038,170.250498,-45.844638,-0.599305,0,1
Advanced,15212.89282,170.644062,-43.77832,1,1,1
Easy,587.950289,168.66641,-44.983279,0.541518,0,0
Easiest,445.51052,174.121709,-39.306651,1,0,0
Easy,1706.756362,172.940216,-40.838768,0.271711,1,1
Advanced,10723.18039,168.686902,-44.818458,1,1,1
Easy,5060.519948,169.357478,-45.246475,0.530757,0,0
'Easiest,Advanced',4692.15523,169.810247,-44.870071,0.999993,0,0
Expert,7858.156653,176.153181,-37.971362,1,1,1
Easy,6927.602538,177.700047,-38.468699,0.999999,1,1
Easiest,710.599218,176.296638,-39.93176,0.999999,0,0
Easy,8639.90388,176.697858,-38.697279,0.999999,1,1
Advanced,34817.02606,169.513451,-44.358808,0.993384,2,2
Easy,744.428672,174.273644,-41.095483,0.025483,0,0
Easy,3217.853171,178.040014,-38.640642,0.350245,1,1
Easy,811.209813,170.455389,-45.920678,0.642064,0,0
Easiest,1256.537599,173.532676,-35.608515,0.896083,0,0
Easy,587.950289,168.66641,-44.983279,0.541518,0,0
Advanced,62923.73138,172.491736,-42.391936,0.999641,2,2
Easy,3965.725559,176.264474,-39.720375,0.368304,1,1
Advanced,12591.30799,175.454245,-36.158891,-1,1,0
Easy,4036.884872,174.193144,-35.221681,-0.999903,0,1
Advanced,7506.947907,175.77963,-37.463674,1,1,1
Advanced,3284.209167,171.22407,-43.63237,1,1,1
Advanced,8407.944413,169.450396,-44.90708,0.999989,1,1
Easy,719.681471,173.627554,-35.239921,0.982203,0,0
Advanced,4627.250988,172.695363,-41.182245,0.999979,1,1
'Intermediate,Advanced,Expert',57544.15386,167.242204,-46.242701,0.999999,1,1
Advanced,12865.57732,174.082699,-39.327664,0.999998,1,1
Advanced,11762.16636,173.692537,-41.425915,1,1,1
Easy,5812.7438,174.861671,-36.806389,0.987914,1,1
Expert,16597.71381,168.588517,-43.999231,0.999976,1,1
Easy,3438.489096,171.40168,-42.62704,0.338491,1,1
Easiest,5921.0808,174.108386,-39.25752,0.938353,0,0
Easiest,1016.771432,172.616985,-41.690615,1,0,0
Advanced,12803.32642,175.526895,-40.551229,1,1,1
Intermediate,19096.69508,175.581001,-39.144497,1,1,1
Easy,2717.697436,173.850628,-34.994486,0.991383,0,0
Easy,1590.882815,172.861803,-40.881495,-0.240245,1,0
Easy,291.435803,173.975779,-36.058133,0.999945,0,0
Easy,4521.378161,177.354973,-37.987406,0.46305,1,1
'Advanced,Expert',57976.85323,172.36222,-41.405752,0.999655,2,2
Easiest,1016.771432,172.616985,-41.690615,1,0,0
'Easy,Advanced',14964.48335,168.850456,-46.059176,0.979158,0,0
Easy,3965.725559,176.264474,-39.720375,0.368304,1,1
Easy,4399.801591,175.736485,-37.427996,-0.352277,1,0
Easy,274.102216,169.410963,-44.935836,0.541767,0,0
Advanced,3284.209167,171.22407,-43.63237,1,1,1
Easy,732.428721,-176.572908,-43.761778,1,0,0
Easy,955.570483,170.668048,-45.639454,0.577471,0,0
Advanced,13195.61637,177.136749,-38.730047,0.999758,1,1
Advanced,4557.861652,172.551864,-40.634096,-0.476888,1,0
Easiest,151.515708,174.86266,-38.255394,0.999997,0,0
Advanced,8349.120626,173.321306,-41.567918,1,1,1
Advanced,15279.22086,175.388671,-36.192375,1,1,1
Easy,9261.72863,171.881282,-41.609507,0.999999,1,1
Easiest,89.895016,175.571237,-36.989997,0.992195,0,0
'Easiest,Easy',11768.40212,174.890259,-36.599845,0.997733,0,0
Easiest,1693.526664,174.043296,-39.103996,0.999999,0,0
Easiest,471.474277,170.703804,-45.781449,0.999994,0,0
Easy,1967.638846,174.936556,-41.343213,0.363109,1,1
Easy,2252.231112,168.463712,-44.727909,-0.530649,0,1
Easy,2244.825728,175.154322,-37.609306,0.999768,0,0
Easiest,253.340026,170.699755,-45.874304,0.999994,0,0
Easy,274.102216,169.410963,-44.935836,0.541767,0,0
'Intermediate,Advanced',15365.14878,168.66593,-44.463917,0.999998,1,1
'Easiest,Easy',975.848555,171.327566,-42.115168,0.999996,0,0
Advanced,11762.16636,173.692537,-41.425915,1,1,1
Easiest,798.280113,176.519544,-38.159507,0.999997,0,0
'Advanced,Expert',10389.30038,169.818251,-44.540626,1,1,1
Easiest,347.853214,170.029211,-43.492498,1,0,0
'Advanced,Expert',34534.85086,172.784208,-41.853425,0.99964,2,2
Easy,2717.697436,173.850628,-34.994486,0.991383,0,0
'Advanced,Expert',4206.429489,169.585198,-44.217976,0.999999,1,1
Advanced,2946.382344,177.388115,-38.279664,0.99985,1,1
Expert,11751.04192,171.387958,-42.265246,0.995842,1,1
Advanced,17462.07339,176.025746,-39.990731,0.998748,2,2
Easy,2252.231112,168.463712,-44.727909,-0.530649,0,1
Advanced,48400.79337,171.058464,-43.53639,0.999998,1,1
Advanced,10853.43685,172.692975,-41.129359,1,1,1
Advanced,4720.027796,175.857056,-37.631957,1,1,1
Easy,22119.96399,175.933437,-38.685913,0.999999,1,1
Easy,587.950289,168.66641,-44.983279,0.541518,0,0
Intermediate,64475.79228,168.258736,-44.880563,0.999165,2,2
Easy,274.102216,169.410963,-44.935836,0.541767,0,0
Easiest,265.195776,174.205583,-36.101686,0.990029,0,0
Advanced,3070.054227,174.990159,-36.777342,0.248745,0,0
Advanced,15212.89282,170.644062,-43.77832,1,1,1
Advanced,385.910448,167.381015,-45.747309,0.633595,0,0
Easy,1112.902843,170.588759,-45.757727,0.59232,0,0
Intermediate,45641.02679,167.375506,-46.184771,0.995875,2,2
Advanced,5731.120804,169.31935,-44.176629,1,1,1
Easy,1252.186524,175.90823,-40.081266,0.132364,0,0
Easy,3482.189873,173.977597,-35.131336,0.999852,0,0
Advanced,15536.58578,172.258608,-43.183109,1,1,1
Easiest,3579.641885,169.970114,-43.446986,1,0,0
Easiest,609.422979,171.018026,-42.955987,1,0,0
Easy,892.519195,171.348145,-42.553648,0.197482,0,0
Advanced,4720.027796,175.857056,-37.631957,1,1,1
Advanced,4047.873045,176.300688,-39.627293,0.986421,1,1
Intermediate,9030.798372,174.796649,-38.414508,1,1,1
Easiest,1693.526664,174.043296,-39.103996,0.999999,0,0
Easy,3632.311888,172.6957,-34.429123,-0.441042,0,1
Advanced,7343.304934,177.160335,-38.783183,1,1,1
Easy,47147.35256,172.755615,-34.457326,0.999633,2,2
Easiest,285.833325,173.799782,-35.19879,0.947888,0,0
Easy,3432.070434,175.771202,-37.317907,0.694383,0,0
Easiest,685.077638,171.324149,-42.434374,1,0,0
Advanced,125082.131,172.439503,-41.316558,0.999892,2,2
Easy,2474.314319,175.637194,-40.725553,0.363873,1,1
Easiest,225.475259,171.192469,-42.647555,1,0,0
Easy,405.583912,173.972534,-41.189484,0.504293,0,0
Easy,811.209813,170.455389,-45.920678,0.642064,0,0
Expert,7977.655449,173.572182,-41.463808,1,1,1
Easy,344.817084,168.548189,-45.066755,-0.546643,0,1
Advanced,4525.194931,173.71706,-35.20065,0.990933,1,1
Expert,29384.06784,171.656449,-42.931492,1,2,2
Intermediate,6461.33931,172.781446,-41.836658,0.999882,1,1
Easy,2252.231112,168.463712,-44.727909,-0.530649,0,1
Easy,3217.853171,178.040014,-38.640642,0.350245,1,1
Advanced,20104.45271,168.816888,-44.437913,0.999984,1,1
Easy,587.172263,174.134748,-35.892819,0.999943,0,0
Easy,574.409899,177.721894,-38.990582,0.99966,0,0
'Advanced,Expert',11579.62589,167.459286,-45.835736,0.999999,1,1
Easiest,1331.310221,175.724228,-37.427025,0.961753,0,0
Advanced,2992.429545,177.800795,-38.984819,0.999981,1,1
Easiest,704.500823,172.401476,-42.379524,1,0,0
Easy,3632.311888,172.6957,-34.429123,-0.441042,0,1
'Easiest,Advanced',4692.15523,169.810247,-44.870071,0.999993,0,0
Advanced,11762.16636,173.692537,-41.425915,1,1,1
Easy,3408.967142,-176.555991,-43.852168,1,0,0
Expert,2306.367613,169.624462,-44.378172,0.260831,0,0
